user_id,variant,timestamp,converted,order_value,sessions,time_on_app_min
user_000000,control,55:52.3,0,0,1,8.924813353252343
user_000001,control,24:53.8,0,0,5,18.496022311365465
user_000002,control,50:56.0,0,0,1,8.305219823
user_000003,control,10:42.8,0,0,3,6.373879911528131
user_000004,control,02:00.4,1,172.5738583462295,1,0.24178530864318015
user_000005,control,37:18.2,0,0,5,11.179921421596058
user_000006,control,51:51.6,0,0,3,2.4338040972935286
user_000007,control,51:32.2,1,422.7044769990516,3,10.95185588
user_000008,control,27:39.1,0,0,5,7.1154410003362525
user_000009,control,40:13.0,0,0,3,6.026469003155984
user_000010,control,26:04.6,0,0,3,5.545780180050985
user_000011,control,05:39.8,0,0,0,8.570616052439657
user_000012,control,51:27.7,0,0,1,10.87050687802064
user_000013,control,41:52.7,0,0,6,10.990308048594406
user_000014,control,08:35.8,1,270.3461918727048,3,0.18352553464112328
user_000015,control,50:45.2,0,0,5,4.074979602
user_000016,control,58:11.5,0,0,3,3.963854627665092
user_000017,control,14:55.3,0,0,6,0.5873203092129111
user_000018,control,22:12.5,0,0,2,2.333950313527978
user_000019,control,23:56.3,0,0,5,3.829993205419591
user_000020,control,44:07.5,0,0,3,4.545342992418657
user_000021,control,54:42.2,1,436.2775757792584,4,1.4944785175910775
user_000022,control,18:35.3,0,0,4,8.260632442993135
user_000023,control,31:10.4,0,0,2,12.246791482059166
user_000024,control,39:31.6,0,0,2,2.845124309570419
user_000025,control,00:31.7,1,260.8957583713527,1,6.481230910416132
user_000026,control,23:34.8,0,0,6,1.7979620304815884
user_000027,control,17:35.7,0,0,4,1.0438334715675843
user_000028,control,03:23.7,0,0,5,1.6485426778000347
user_000029,control,06:12.4,0,0,6,0.452201295
user_000030,control,20:28.9,0,0,2,9.467925444
user_000031,control,03:12.5,0,0,3,0.6839064097045767
user_000032,control,55:27.6,0,0,3,3.3255395858785337
user_000033,control,44:10.7,0,0,2,0.2215827529561237
user_000034,control,20:20.1,0,0,1,13.67240127163307
user_000035,control,09:02.5,0,0,2,11.299720428333753
user_000036,control,36:39.1,0,0,2,5.704534688058064
user_000037,control,53:11.1,1,302.90734535710476,3,0.39110814334293836
user_000038,control,07:13.2,0,0,5,4.932192604946298
user_000039,control,30:22.6,0,0,1,6.923877898828282
user_000040,control,25:19.7,0,0,3,10.849472895276417
user_000041,control,57:56.6,0,0,6,8.998273888971022
user_000042,control,19:55.7,0,0,3,15.83735334071781
user_000043,control,52:46.7,0,0,2,12.496920176263176
user_000044,control,21:21.0,0,0,1,1.4558655411985257
user_000045,control,21:38.4,1,425.3009124331769,5,8.630344237856221
user_000046,control,39:32.7,0,0,7,4.099707922596799
user_000047,control,15:14.4,0,0,2,0.7559687809107064
user_000048,control,37:04.7,0,0,2,2.6899287706050936
user_000049,control,39:47.8,0,0,5,6.0799065113376685
user_000050,control,27:52.1,0,0,5,12.216722222511287
user_000051,control,56:47.9,0,0,5,6.646327733699703
user_000052,control,31:58.9,0,0,1,18.463094580687493
user_000053,control,26:48.1,0,0,4,5.704047108996688
user_000054,control,28:45.6,1,246.72382639314685,5,1.6801426585666992
user_000055,control,32:54.7,0,0,1,5.338862779768588
user_000056,control,39:01.2,0,0,2,5.435068050443427
user_000057,control,35:37.3,0,0,3,15.66815344692757
user_000058,control,46:52.9,0,0,1,20.321882776921495
user_000059,control,26:37.7,0,0,3,2.1665353259628297
user_000060,control,52:30.9,0,0,3,6.348752082
user_000061,control,35:18.4,0,0,2,3.982789660359536
user_000062,control,26:55.1,0,0,1,5.546731888928232
user_000063,control,57:09.5,0,0,7,1.7148512028688327
user_000064,control,51:43.7,0,0,1,7.967129739796053
user_000065,control,44:23.5,0,0,1,11.342912450946752
user_000066,control,12:33.4,1,267.2927237155544,5,8.792391899796856
user_000067,control,24:28.7,0,0,1,2.792410503799425
user_000068,control,57:21.9,0,0,1,5.58127728
user_000069,control,22:51.2,0,0,3,18.35671445117262
user_000070,control,15:25.9,1,288.18640282904386,3,0.57653897
user_000071,control,01:31.6,0,0,4,0.5035745452399972
user_000072,control,00:51.1,1,282.5653028146071,5,1.6861864339991517
user_000073,control,31:02.9,0,0,1,18.87676564201109
